iter	RMSE
0	161.0873589
1	156.4089825
2	152.0092402
3	147.692709
4	143.6023377
5	139.5325466
6	135.7592047
7	132.0394136
8	128.4849147
9	125.1123395
10	121.9082509
11	118.8283245
12	115.7224056
13	112.8631042
14	110.0379996
15	107.3014093
16	104.717972
17	102.2792888
18	99.95570617
19	97.67250601
20	95.51208594
21	93.45132003
22	91.43229277
23	89.54390204
24	87.69625691
25	85.99023154
26	84.31470945
27	82.74188192
28	81.25004631
29	79.78549371
30	78.42435841
31	77.10125307
32	75.83422357
33	74.61681524
34	73.48684253
35	72.39839018
36	71.35663842
37	70.35752008
38	69.42095902
39	68.52103055
40	67.66321655
41	66.79781381
42	66.02586778
43	65.2755615
44	64.5540707
45	63.85642854
46	63.21346919
47	62.57255085
48	61.94140814
49	61.36171003
50	60.82435514
51	60.31069625
52	59.8466622
53	59.37907626
54	58.93848979
55	58.48830674
56	58.09781443
57	57.73557834
58	57.36908277
59	57.03013399
60	56.66292471
61	56.32583835
62	55.9856981
63	55.71303011
64	55.41734364
65	55.18458228
66	54.92378746
67	54.67062171
68	54.44343897
69	54.18590734
70	53.95905186
71	53.77851381
72	53.56770388
73	53.36998442
74	53.22224482
75	53.00534321
76	52.84291515
77	52.70056397
78	52.52179613
79	52.36670879
80	52.21308982
81	52.02908265
82	51.91321763
83	51.79553441
84	51.66104402
85	51.53545749
86	51.40187074
87	51.29902198
88	51.1996851
89	51.09036015
90	50.98817725
91	50.84813718
92	50.70779907
93	50.62427059
94	50.53314673
95	50.45457414
96	50.35664112
97	50.2403355
98	50.1386754
99	50.02995191
100	49.95526628
101	49.8596565
102	49.72521805
103	49.65237898
104	49.50350046
105	49.41033541
106	49.34654683
107	49.25612995
108	49.19810657
109	49.12232667
110	49.03591202
111	48.96198298
112	48.85879056
113	48.73324674
114	48.64000493
115	48.5692156
116	48.49273977
117	48.40749991
118	48.33262964
119	48.25281506
120	48.18249776
121	48.04793027
122	47.95062715
123	47.88273166
124	47.80370213
125	47.73056467
126	47.67687256
127	47.60568878
128	47.55962571
129	47.4725681
130	47.40556743
131	47.35386825
132	47.31606263
133	47.26030868
134	47.19245962
135	47.14913857
136	47.09432209
137	47.06029079
138	46.96047887
139	46.84443714
140	46.79551225
141	46.68728596
142	46.61599945
143	46.5254446
144	46.46507406
145	46.42649083
146	46.37016988
147	46.32217446
148	46.20681334
149	46.146164
150	46.09987242
151	46.02324874
152	45.98101104
153	45.94587599
154	45.87410896
155	45.84050725
156	45.80785502
157	45.7342188
158	45.67922523
159	45.6276652
160	45.55678026
161	45.52806172
162	45.49847193
163	45.45653489
164	45.36631281
165	45.31747831
166	45.27580336
167	45.23528931
168	45.19281215
169	45.15562159
170	45.10594798
171	45.07677016
172	45.04552098
173	45.01264236
174	44.98980273
175	44.90668431
176	44.84758015
177	44.76660953
178	44.70642829
179	44.67046181
180	44.61317809
181	44.55232272
182	44.51293099
183	44.46955526
184	44.40988687
185	44.35184004
186	44.28985625
187	44.22235039
188	44.19389414
189	44.17677542
190	44.10567607
191	44.02398955
192	43.98087301
193	43.93769475
194	43.85792861
195	43.78963682
196	43.759084
197	43.69942438
198	43.67789404
199	43.65578349
200	43.61173441
201	43.57346505
202	43.53857232
203	43.49241098
204	43.45100534
205	43.4145517
206	43.3936576
207	43.33234423
208	43.29276139
209	43.24509995
210	43.19961665
211	43.14301988
212	43.09205269
213	43.06843742
214	43.02645547
215	42.9502054
216	42.88242216
217	42.84257361
218	42.79343311
219	42.76325955
220	42.73772677
221	42.6960046
222	42.66327774
223	42.59636513
224	42.5816294
225	42.51775118
226	42.46353438
227	42.42499933
228	42.39181709
229	42.35906322
230	42.30662324
231	42.26821519
232	42.23847243
233	42.18900824
234	42.14297416
235	42.1083497
236	42.08222195
237	42.04968108
238	42.01958656
239	41.9760316
240	41.92549676
241	41.8967775
242	41.85535283
243	41.82018729
244	41.75739922
245	41.69282072
246	41.64348632
247	41.60442498
248	41.5000246
249	41.44547687
250	41.38525669
251	41.34069517
252	41.29711013
253	41.21322826
254	41.14814738
255	41.10942453
256	41.05073859
257	41.01423969
258	40.94900671
259	40.91655875
260	40.87617215
261	40.83331801
262	40.7725549
263	40.72292906
264	40.6884066
265	40.66501564
266	40.61559264
267	40.55634492
268	40.52074385
269	40.46783373
270	40.42880739
271	40.39036107
272	40.33425708
273	40.30335011
274	40.26383915
275	40.20606077
276	40.16575274
277	40.11672945
278	40.07519037
279	40.02800994
280	39.99923371
281	39.95207942
282	39.92530516
283	39.87826974
284	39.82405908
285	39.77804345
286	39.73598724
287	39.69714287
288	39.67173071
289	39.6366544
290	39.59392123
291	39.52512319
292	39.48234854
293	39.46068656
294	39.43188709
295	39.39455683
296	39.35539917
297	39.32621764
298	39.28009214
299	39.23621906
300	39.19756447
301	39.16063233
302	39.14693039
303	39.10633362
304	39.06906052
305	39.02551808
306	38.98138323
307	38.94157392
308	38.90204843
309	38.87866732
310	38.83698672
311	38.76576887
312	38.74473387
313	38.71632196
314	38.66629811
315	38.61518285
316	38.57766112
317	38.55550105
318	38.51404626
319	38.46061475
320	38.41591913
321	38.35979081
322	38.32455815
323	38.27491832
324	38.23912171
325	38.21253392
326	38.15149951
327	38.10056866
328	38.03675093
329	37.98578883
330	37.96156174
331	37.91249987
332	37.8775616
333	37.85202043
334	37.79664094
335	37.76370974
336	37.71629904
337	37.68212259
338	37.65607459
339	37.61519441
340	37.56534555
341	37.52599338
342	37.49511845
343	37.4461479
344	37.38138898
345	37.32968426
346	37.31072008
347	37.28995489
348	37.26268482
349	37.24301281
350	37.2124062
351	37.16014577
352	37.10552507
353	37.08219692
354	37.0301783
355	37.00813601
356	36.97982596
357	36.95716342
358	36.91210467
359	36.8725717
360	36.84212423
361	36.81492771
362	36.78448057
363	36.75302854
364	36.73845709
365	36.69513385
366	36.64274661
367	36.57873702
368	36.54032903
369	36.51183994
370	36.47008063
371	36.43558235
372	36.39212648
373	36.32272468
374	36.27397305
375	36.24402481
376	36.22218718
377	36.18898575
378	36.14497314
379	36.10455917
380	36.06158211
381	36.02643084
382	35.9962543
383	35.97300596
384	35.92778003
385	35.89230556
386	35.86599076
387	35.82138234
388	35.78658496
389	35.75568231
390	35.7174616
391	35.69430118
392	35.67026407
393	35.63867127
394	35.61266009
395	35.58680498
396	35.5382105
397	35.47186868
398	35.42309452
399	35.3890368
400	35.33633129
401	35.30015448
402	35.27419271
403	35.24986827
404	35.21189016
405	35.19536044
406	35.16968272
407	35.15334776
408	35.11596692
409	35.06274399
410	35.03447356
411	34.99594467
412	34.98131535
413	34.94241036
414	34.91889909
415	34.87117244
416	34.83146489
417	34.81652878
418	34.7822539
419	34.76471624
420	34.74712985
421	34.71235352
422	34.68811985
423	34.66096492
424	34.63107923
425	34.6001924
426	34.56788487
427	34.54294951
428	34.51452405
429	34.48129868
430	34.44769552
431	34.42096964
432	34.3882276
433	34.347953
434	34.31242302
435	34.2982315
436	34.26735622
437	34.23570914
438	34.20578623
439	34.16635587
440	34.14862006
441	34.12315154
442	34.10661209
443	34.07960484
444	34.06177415
445	34.03995256
446	34.01813744
447	33.9906205
448	33.96605733
449	33.94892497
450	33.92496621
451	33.8988766
452	33.85229076
453	33.82949145
454	33.79318199
455	33.77291138
456	33.73041324
457	33.71173631
458	33.68138769
459	33.66142943
460	33.64706983
461	33.61224533
462	33.57921288
463	33.55594633
464	33.52501531
465	33.47826681
466	33.43359535
467	33.39873055
468	33.36602974
469	33.33334216
470	33.30983335
471	33.28496899
472	33.24689055
473	33.21403082
474	33.18591793
475	33.16387972
476	33.13508058
477	33.10670521
478	33.06308252
479	33.0251815
480	32.98512707
481	32.94924626
482	32.92535382
483	32.89694588
484	32.859627
485	32.82208407
486	32.7978011
487	32.74742593
488	32.7103333
489	32.65003476
490	32.61474306
491	32.58480876
492	32.5527553
493	32.53010992
494	32.51180593
495	32.47123924
496	32.45414618
497	32.39812543
498	32.35223186
499	32.32853337
500	32.30665495
501	32.28505283
502	32.26249061
503	32.23684379
504	32.18035169
505	32.14789612
506	32.12857624
507	32.10665338
508	32.08769942
509	32.05930218
510	32.03650905
511	32.01493877
512	31.98769733
513	31.97581687
514	31.95594314
515	31.92354467
516	31.8952922
517	31.8634942
518	31.83073991
519	31.77553986
520	31.74645247
521	31.704374
522	31.68412313
523	31.66247342
524	31.64663316
525	31.61960576
526	31.5925667
527	31.5548426
528	31.53068338
529	31.50206531
530	31.47809751
531	31.44141028
532	31.40100206
533	31.364685
534	31.34559831
535	31.31743568
536	31.29660328
537	31.27659861
538	31.24916685
539	31.22122076
540	31.19873041
541	31.17405102
542	31.13605442
543	31.12217023
544	31.09571353
545	31.07395932
546	31.04451814
547	31.01197982
548	30.98672404
549	30.95302831
550	30.92388054
551	30.87924375
552	30.85258955
553	30.82849207
554	30.80958957
555	30.79345333
556	30.76351972
557	30.73370435
558	30.7236379
559	30.70561078
560	30.68839434
561	30.65743461
562	30.63803604
563	30.61481084
564	30.5826114
565	30.55903772
566	30.52351594
567	30.49526178
568	30.47676697
569	30.44493181
570	30.42030926
571	30.40944886
572	30.38175224
573	30.33952709
574	30.3129505
575	30.28823321
576	30.26602532
577	30.23825647
578	30.20637055
579	30.16731821
580	30.14455457
581	30.11155293
582	30.08820645
583	30.07500469
584	30.05031175
585	30.03085673
586	29.99822645
587	29.97643925
588	29.95783768
589	29.93926925
590	29.91773596
591	29.90350276
592	29.87942312
593	29.85880749
594	29.83467261
595	29.80687988
596	29.78394191
597	29.7568655
598	29.71352386
599	29.69196696
600	29.66277633
601	29.64428751
602	29.60932106
603	29.60256719
604	29.5842832
605	29.56261994
606	29.53000081
607	29.50629726
608	29.48422605
609	29.47729777
610	29.45539313
611	29.43330643
612	29.40627679
613	29.36877531
614	29.33441973
615	29.31838242
616	29.29029248
617	29.28028758
618	29.26094985
619	29.23821394
620	29.22138375
621	29.19033044
622	29.16701862
623	29.14479706
624	29.12163443
625	29.10833588
626	29.08325093
627	29.06891964
628	29.04975544
629	29.02143045
630	29.00314159
631	28.97044575
632	28.95169402
633	28.91907533
634	28.89381063
635	28.85362365
636	28.83607934
637	28.81881348
638	28.80235268
639	28.77697788
640	28.74241255
641	28.72442508
642	28.70045779
643	28.68127259
644	28.6597977
645	28.63057723
646	28.60570602
647	28.58238744
648	28.5613627
649	28.5497694
650	28.52088324
651	28.50299416
652	28.4730383
653	28.44471616
654	28.42774533
655	28.38282621
656	28.37434185
657	28.36091302
658	28.34407409
659	28.31456481
660	28.29717051
661	28.26456944
662	28.24058035
663	28.21852842
664	28.19413979
665	28.17447591
666	28.15699437
667	28.13161575
668	28.10244763
669	28.05432194
670	28.03043161
671	28.00227232
672	27.98019891
673	27.94717135
674	27.9226183
675	27.90746898
676	27.87599191
677	27.85521612
678	27.82623773
679	27.80551141
680	27.78246749
681	27.74529804
682	27.71659658
683	27.69108054
684	27.6795567
685	27.65792658
686	27.64292288
687	27.61660956
688	27.60009942
689	27.58610495
690	27.56145661
691	27.52923743
692	27.52094219
693	27.51129023
694	27.49703927
695	27.47384881
696	27.43948069
697	27.42402672
698	27.40496856
699	27.39601322
700	27.36822959
701	27.35170629
702	27.32979118
703	27.29231992
704	27.26638449
705	27.2525957
706	27.23556065
707	27.20940635
708	27.19486605
709	27.16752757
710	27.14059584
711	27.1316887
712	27.11346146
713	27.09865685
714	27.08152451
