iter	Passed	Remaining
0	6	6817
1	15	7893
2	24	8121
3	31	7791
4	38	7564
5	44	7335
6	50	7116
7	56	7005
8	63	6987
9	70	7002
10	78	7051
11	86	7132
12	94	7147
13	100	7104
14	108	7113
15	117	7204
16	124	7190
17	131	7173
18	138	7131
19	145	7138
20	153	7156
21	160	7116
22	165	7043
23	172	7015
24	180	7027
25	187	7022
26	193	6985
27	201	7003
28	208	6976
29	215	6952
30	221	6935
31	229	6935
32	235	6895
33	242	6885
34	250	6907
35	257	6883
36	263	6868
37	271	6884
38	278	6873
39	285	6841
40	293	6867
41	300	6864
42	307	6838
43	314	6828
44	321	6828
45	329	6828
46	335	6810
47	342	6788
48	348	6768
49	355	6758
50	362	6741
51	368	6713
52	374	6694
53	381	6681
54	387	6662
55	395	6662
56	401	6644
57	408	6638
58	415	6622
59	421	6609
60	428	6597
61	436	6598
62	442	6583
63	450	6581
64	456	6562
65	464	6572
66	471	6562
67	477	6539
68	482	6515
69	490	6519
70	497	6504
71	504	6507
72	511	6490
73	517	6474
74	524	6472
75	533	6486
76	541	6493
77	548	6479
78	554	6468
79	562	6467
80	570	6467
81	576	6453
82	584	6453
83	591	6454
84	598	6444
85	604	6427
86	612	6424
87	619	6416
88	626	6413
89	633	6407
90	640	6398
91	647	6391
92	653	6373
93	659	6358
94	667	6360
95	674	6355
96	681	6345
97	687	6329
98	695	6325
99	701	6314
100	709	6312
101	716	6306
102	723	6301
103	730	6294
104	737	6289
105	743	6274
106	750	6265
107	756	6246
108	762	6236
109	769	6225
110	775	6211
111	782	6206
112	790	6206
113	798	6207
114	805	6202
115	814	6210
116	822	6204
117	829	6198
118	836	6193
119	843	6183
120	850	6180
121	857	6168
122	864	6160
123	870	6150
124	875	6131
125	882	6119
126	889	6116
127	897	6113
128	905	6114
129	913	6111
130	920	6103
131	927	6100
132	934	6093
133	942	6089
134	948	6076
135	954	6065
136	961	6055
137	968	6050
138	976	6047
139	983	6042
140	990	6034
141	996	6022
142	1004	6018
143	1011	6011
144	1017	6002
145	1024	5992
146	1031	5985
147	1038	5980
148	1045	5972
149	1052	5965
150	1058	5952
151	1065	5946
152	1072	5936
153	1078	5926
154	1085	5917
155	1092	5910
156	1099	5902
157	1105	5892
158	1113	5889
159	1119	5874
160	1126	5868
161	1132	5860
162	1139	5850
163	1146	5844
164	1154	5840
165	1161	5833
166	1168	5828
167	1174	5817
168	1181	5810
169	1188	5801
170	1195	5795
171	1201	5783
172	1209	5780
173	1216	5774
174	1224	5770
175	1231	5766
176	1240	5766
177	1247	5759
178	1254	5755
179	1261	5746
180	1268	5739
181	1275	5732
182	1284	5732
183	1292	5732
184	1300	5730
185	1308	5726
186	1315	5719
187	1324	5720
188	1331	5711
189	1338	5706
190	1346	5702
191	1353	5694
192	1359	5683
193	1366	5678
194	1374	5675
195	1381	5667
196	1387	5654
197	1393	5645
198	1400	5635
199	1407	5628
200	1413	5620
201	1420	5609
202	1427	5604
203	1434	5596
204	1441	5592
205	1448	5583
206	1454	5572
207	1461	5565
208	1468	5557
209	1476	5552
210	1483	5547
211	1491	5542
212	1498	5536
213	1505	5527
214	1512	5520
215	1520	5519
216	1526	5508
217	1534	5503
218	1541	5496
219	1548	5491
220	1555	5484
221	1563	5477
222	1569	5468
223	1576	5462
224	1584	5457
225	1590	5447
226	1597	5438
227	1604	5431
228	1611	5424
229	1618	5419
230	1625	5410
231	1633	5406
232	1640	5398
233	1646	5389
234	1654	5384
235	1661	5377
236	1667	5369
237	1676	5366
238	1683	5361
239	1691	5356
240	1698	5349
241	1705	5342
242	1711	5333
243	1719	5326
244	1726	5320
245	1734	5315
246	1741	5307
247	1749	5304
248	1757	5299
249	1764	5292
250	1770	5282
251	1776	5273
252	1782	5264
253	1789	5257
254	1798	5253
255	1805	5246
256	1812	5241
257	1820	5236
258	1827	5229
259	1835	5223
260	1842	5216
261	1849	5210
262	1855	5200
263	1862	5192
264	1869	5184
265	1875	5176
266	1882	5167
267	1889	5161
268	1895	5151
269	1902	5143
270	1908	5132
271	1913	5122
272	1920	5115
273	1927	5107
274	1934	5100
275	1941	5092
276	1947	5082
277	1954	5077
278	1963	5074
279	1970	5066
280	1976	5057
281	1983	5050
282	1990	5043
283	1997	5036
284	2004	5028
285	2010	5018
286	2016	5008
287	2022	5001
288	2029	4993
289	2036	4987
290	2043	4978
291	2049	4970
292	2055	4960
293	2061	4950
294	2069	4945
295	2076	4938
296	2082	4928
297	2089	4922
298	2095	4913
299	2102	4906
300	2110	4900
301	2116	4890
302	2123	4884
303	2130	4877
304	2137	4869
305	2144	4862
306	2150	4855
307	2158	4849
308	2165	4841
309	2172	4834
310	2178	4827
311	2187	4824
312	2196	4820
313	2202	4812
314	2211	4808
315	2217	4800
316	2224	4792
317	2231	4785
318	2238	4778
319	2245	4772
320	2251	4762
321	2258	4756
322	2265	4749
323	2272	4740
324	2278	4732
325	2285	4724
326	2292	4717
327	2299	4711
328	2306	4703
329	2312	4695
330	2319	4688
331	2325	4679
332	2333	4673
333	2340	4667
334	2347	4660
335	2353	4651
336	2359	4642
337	2367	4637
338	2376	4632
339	2382	4624
340	2390	4619
341	2397	4613
342	2404	4606
343	2411	4598
344	2418	4591
345	2426	4587
346	2434	4580
347	2441	4573
348	2447	4566
349	2454	4559
350	2462	4553
351	2469	4546
352	2475	4538
353	2482	4530
354	2489	4523
355	2496	4516
356	2503	4509
357	2511	4504
358	2519	4497
359	2526	4490
360	2533	4484
361	2540	4477
362	2546	4468
363	2551	4458
364	2559	4453
365	2567	4446
366	2574	4440
367	2581	4433
368	2588	4427
369	2596	4421
370	2603	4414
371	2611	4409
372	2619	4402
373	2625	4394
374	2633	4388
375	2640	4381
376	2646	4373
377	2652	4364
378	2658	4356
379	2665	4348
380	2671	4340
381	2678	4333
382	2684	4325
383	2691	4317
384	2697	4309
385	2705	4302
386	2712	4295
387	2718	4287
388	2725	4280
389	2731	4272
390	2738	4264
391	2744	4257
392	2752	4251
393	2759	4244
394	2766	4237
395	2774	4232
396	2780	4223
397	2787	4217
398	2796	4211
399	2802	4204
400	2809	4196
401	2817	4190
402	2823	4182
403	2830	4175
404	2838	4170
405	2845	4163
406	2853	4157
407	2860	4150
408	2866	4142
409	2872	4134
410	2879	4127
411	2886	4119
412	2892	4111
413	2899	4104
414	2905	4096
415	2913	4090
416	2920	4083
417	2927	4076
418	2934	4069
419	2940	4061
420	2946	4052
421	2952	4043
422	2959	4037
423	2967	4030
424	2973	4023
425	2980	4015
426	2986	4008
427	2993	4000
428	2999	3992
429	3005	3984
430	3011	3976
431	3018	3968
432	3026	3962
433	3033	3956
434	3040	3949
435	3048	3943
436	3056	3937
437	3063	3931
438	3071	3925
439	3077	3917
440	3084	3909
441	3092	3903
442	3098	3896
443	3106	3889
444	3113	3883
445	3120	3875
446	3127	3868
447	3133	3861
448	3139	3853
449	3146	3846
450	3154	3839
451	3160	3832
452	3167	3824
453	3175	3818
454	3181	3810
455	3187	3802
456	3193	3795
457	3200	3787
458	3207	3780
459	3214	3774
460	3222	3767
461	3229	3761
462	3235	3752
463	3241	3744
464	3247	3736
465	3255	3730
466	3262	3723
467	3268	3716
468	3275	3708
469	3280	3699
470	3287	3692
471	3294	3685
472	3301	3678
473	3309	3672
474	3315	3664
475	3322	3657
476	3329	3650
477	3336	3643
478	3343	3636
479	3350	3629
480	3357	3622
481	3364	3615
482	3371	3608
483	3378	3601
484	3384	3594
485	3393	3588
486	3400	3581
487	3407	3574
488	3414	3567
489	3421	3560
490	3427	3553
491	3435	3546
492	3441	3539
493	3449	3533
494	3456	3526
495	3463	3519
496	3470	3511
497	3477	3504
498	3484	3498
499	3491	3491
500	3499	3485
501	3505	3477
502	3510	3468
503	3517	3461
504	3524	3455
505	3531	3447
506	3538	3441
507	3545	3433
508	3551	3426
509	3559	3419
510	3566	3412
511	3572	3405
512	3578	3397
513	3585	3390
514	3592	3383
515	3599	3376
516	3606	3369
517	3614	3363
518	3621	3356
519	3629	3350
520	3637	3343
521	3643	3336
522	3650	3329
523	3656	3321
524	3662	3314
525	3669	3306
526	3676	3299
527	3683	3292
528	3690	3285
529	3697	3278
530	3703	3271
531	3710	3264
532	3717	3257
533	3726	3251
534	3733	3244
535	3741	3238
536	3748	3231
537	3755	3224
538	3761	3217
539	3767	3209
540	3774	3202
541	3780	3194
542	3787	3187
543	3794	3180
544	3801	3173
545	3808	3166
546	3814	3159
547	3821	3151
548	3828	3145
549	3835	3138
550	3842	3130
551	3849	3124
552	3856	3117
553	3863	3110
554	3870	3103
555	3877	3096
556	3886	3091
557	3894	3084
558	3901	3077
559	3908	3071
560	3915	3063
561	3922	3056
562	3929	3049
563	3936	3043
564	3943	3036
565	3950	3029
566	3958	3022
567	3965	3016
568	3972	3008
569	3978	3001
570	3986	2995
571	3993	2988
572	4000	2981
573	4006	2973
574	4013	2966
575	4020	2959
576	4026	2951
577	4033	2944
578	4041	2938
579	4049	2932
580	4055	2924
581	4063	2918
582	4070	2911
583	4078	2905
584	4085	2898
585	4091	2890
586	4099	2884
587	4106	2877
588	4113	2870
589	4119	2862
590	4126	2855
591	4133	2848
592	4141	2842
593	4148	2835
594	4155	2828
595	4162	2821
596	4170	2815
597	4177	2808
598	4183	2800
599	4191	2794
600	4198	2787
601	4206	2780
602	4215	2775
603	4222	2768
604	4229	2761
605	4236	2754
606	4243	2747
607	4250	2740
608	4258	2733
609	4265	2726
610	4271	2719
611	4279	2713
612	4286	2706
613	4294	2699
614	4300	2692
615	4307	2685
616	4315	2678
617	4322	2671
618	4329	2664
619	4336	2657
620	4343	2650
621	4349	2643
622	4356	2636
623	4363	2629
624	4370	2622
625	4377	2615
626	4384	2608
627	4391	2601
628	4397	2593
629	4404	2586
630	4412	2580
631	4418	2572
632	4424	2565
633	4430	2557
634	4437	2550
635	4445	2544
636	4451	2536
637	4458	2529
638	4466	2523
639	4473	2516
640	4480	2509
641	4486	2501
642	4492	2494
643	4499	2487
644	4504	2479
645	4511	2472
646	4517	2464
647	4524	2457
648	4532	2451
649	4538	2443
650	4545	2436
651	4552	2429
652	4558	2422
653	4566	2415
654	4573	2409
655	4580	2402
656	4587	2395
657	4593	2387
658	4599	2380
659	4607	2373
660	4614	2366
661	4621	2359
662	4627	2352
663	4635	2345
664	4642	2338
665	4648	2331
666	4656	2324
667	4663	2317
668	4670	2310
669	4676	2303
670	4684	2296
671	4691	2289
672	4698	2282
673	4704	2275
674	4711	2268
675	4717	2261
676	4724	2254
677	4731	2247
678	4738	2240
679	4744	2232
680	4752	2226
681	4758	2218
682	4767	2212
683	4773	2205
684	4778	2197
685	4785	2190
686	4790	2182
687	4798	2176
688	4806	2169
689	4813	2162
690	4820	2155
691	4826	2148
692	4834	2141
693	4841	2134
694	4848	2127
695	4855	2120
696	4863	2114
697	4869	2106
698	4875	2099
699	4881	2092
700	4887	2084
701	4894	2077
702	4901	2070
703	4908	2063
704	4915	2056
705	4921	2049
706	4927	2042
707	4934	2035
708	4941	2028
709	4949	2021
710	4956	2014
711	4962	2007
712	4969	2000
713	4975	1993
714	4982	1986
715	4988	1978
716	4996	1972
